address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Largo dei Chiavari 85",restaurant,475,41.8963,12.4741,Rome,"Insalata Ricca",4adcdaccf964a5202a5521e3,0,"Salad Place",http://tour-pedia.org/api/getPlaceDetails?id=475,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=475
"Viale Parioli 184",restaurant,480,41.928967553145,12.485827922137,Rome,"Celestina Ai Parioli",4adcdaccf964a520395521e3,0,"Pizza Place",http://tour-pedia.org/api/getPlaceDetails?id=480,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=480
"Via Poggio Ameno, 6",restaurant,483,41.846787983571,12.489087023133,Rome,"La Città di Primavera",4adcdaccf964a520415521e3,0,"Chinese Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=483,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=483
"39/C Piazzale Jonio",restaurant,499,41.946241851819,12.525021697829,Rome,"Pizzando Grigliando",4adcdacef964a520875521e3,0,"BBQ Joint",http://tour-pedia.org/api/getPlaceDetails?id=499,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=499
"89/91 Viale Gottardo",restaurant,501,41.932453,12.536008,Rome,"Cucara Macara",4adcdacff964a520935521e3,0,"Mexican Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=501,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=501
506,Pierluigi,"144 Piazza de'Ricci",restaurant,Rome,41.8966,12.4686,http://tour-pedia.org/api/getPlaceDetails?id=506,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=506
"Via Tiburtina 224",restaurant,522,41.900089371346,12.517174025854,Rome,"Il Podista",4adcdad0f964a520d25521e3,0,"Pizza Place",http://tour-pedia.org/api/getPlaceDetails?id=522,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=522
"Via di Vermicino 56",restaurant,528,41.86138,12.676314,Rome,"Platani Due (I)",4adcdad0f964a520e35521e3,0,"Pizza Place",http://tour-pedia.org/api/getPlaceDetails?id=528,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=528
"Via Del Pigneto 193",restaurant,530,41.8881691,12.5296745,Rome,"Tiger Tandoori",4adcdad0f964a520e55521e3,0,"Indian Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=530,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=530
591,Romoli,"Viale Eritrea 140/144",restaurant,Rome,41.928472140513,12.515874534669,http://tour-pedia.org/api/getPlaceDetails?id=591,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=591
