address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Sheikh Rashid Road",restaurant,114687,25.242056387146,55.333671569824,Dubai,"Dubai Creek Golf & Yacht Club",4b0587f3f964a520e5a822e3,0,"Golf Course",http://tour-pedia.org/api/getPlaceDetails?id=114687,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114687
"Mall of the Emirates",restaurant,114694,25.117932276583,55.202350616455,Dubai,"Dunkin' Donuts",4b06c82bf964a52028f022e3,0,"Fast Food Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114694,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114694
"Mall of the Emirates",restaurant,114696,25.118515131651,55.199046134949,Dubai,"Paul Cafe",4b0796edf964a520defe22e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=114696,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114696
"Jumeirah Beach Residence Walk",restaurant,114699,25.078111567129,55.134406704106,Dubai,Chili's,4b07e4cdf964a520d20023e3,0,"American Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114699,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114699
"Marina Mall - Sheikh Zaid Road",restaurant,114700,25.110113535222,55.188968512551,Dubai,"Starbucks - Marina Mall",4b0809c4f964a520c10223e3,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=114700,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114700
"The Greens",restaurant,114701,25.092185379651,55.171262560805,Dubai,"Al Dhafra 1",4b086967f964a520460b23e3,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=114701,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114701
"Mall of the Emirates",restaurant,114706,25.118281989958,55.199646949768,Dubai,Pinkberry,4b0981b3f964a520701823e3,0,"Frozen Yogurt",http://tour-pedia.org/api/getPlaceDetails?id=114706,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114706
"JBR Walk",restaurant,114714,25.075181998376,55.131679773331,Dubai,"Barbeque BBQ Delights باربيكيو ديلايتس",4b0adb67f964a520f72823e3,0,"Indian Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114714,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114714
"JBR - The Walk",restaurant,114716,25.075097739303,55.131345980437,Dubai,"Bob's Diner",4b0ae95df964a520ea2923e3,0,Diner,http://tour-pedia.org/api/getPlaceDetails?id=114716,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114716
"Dubai Internet City",restaurant,114717,25.094071690673,55.159435272217,Dubai,Subway,4b0b879ff964a5201a3223e3,0,"Sandwich Place",http://tour-pedia.org/api/getPlaceDetails?id=114717,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114717
"Sheikh Zayed Road",restaurant,114720,25.145197833054,55.221063144318,Dubai,"Starbucks Shk Zayed Rd",4b0d2964f964a520304423e3,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=114720,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114720
"Dubai Festival City",restaurant,114725,25.22346136259,55.356030464172,Dubai,Costa,4b0f7c4bf964a5209f6223e3,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=114725,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114725
"Dubai Festival City - Nadd Al Hamar Rd",restaurant,114727,25.223344892097,55.35560131073,Dubai,"IKEA آيكيا",4b0f8492f964a520e36223e3,0,"Furniture / Home Store",http://tour-pedia.org/api/getPlaceDetails?id=114727,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114727
"Ibn Battuta Mall",restaurant,114728,25.045986640164,55.120811462402,Dubai,Costa,4b104a3af964a520166d23e3,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=114728,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114728
"Souq Al Bahar Entrance, The Dubai Mall",restaurant,114729,25.194961591743,55.27824640274,Dubai,"Café Blanc - كافيه بلان",4b110ceef964a520bc7723e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=114729,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114729
