id,name,address,category,location,lat,lng,details,reviews
129419,"Barceló Raval","Rambla del Raval 17",restaurant,Barcelona,41.378992107671,2.1696310444055,http://tour-pedia.org/api/getPlaceDetails?id=129419,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129419
129784,"Bilbao Berria","Plaça Nova, 3, Barcelona, Spain",restaurant,Barcelona,41.384165,2.174983,http://tour-pedia.org/api/getPlaceDetails?id=129784,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129784
129787,"La Candela","Plaça de Sant Pere, 12, Barcelona, Spain",restaurant,Barcelona,41.38932,2.178878,http://tour-pedia.org/api/getPlaceDetails?id=129787,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129787
"Avinguda del Paral·lel, 54",restaurant,129790,41.374489925686,2.1670961380005,Barcelona,"Dino Pan",4b1e255ef964a520981724e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=129790,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129790
"Carrer de la Diputació, 269",restaurant,129796,41.390658598746,2.1674430390352,Barcelona,"Tapas 24",4b241c53f964a5204e6124e3,0,"Tapas Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=129796,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129796
"Manuel de Falla 16-18",restaurant,129803,41.393374775225,2.1250605583191,Barcelona,"Cafe Dole",4b2e2463f964a520f8dc24e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=129803,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129803
"Passeig de Gràcia, 55",restaurant,129815,41.392636,2.16415166,Barcelona,"Nespresso Boutique",4b3a41c5f964a520186325e3,0,"Gourmet Shop",http://tour-pedia.org/api/getPlaceDetails?id=129815,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129815
"Tordera, 62",restaurant,129816,41.4022362,2.16247085,Barcelona,"Restaurant Cal Boter",4b3cb241f964a5203a8625e3,0,"Mediterranean Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=129816,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129816
"Via Laietana, 40",restaurant,129834,41.385775035115,2.1762060092637,Barcelona,"El Reloj",4b4add37f964a520418f26e3,0,"Spanish Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=129834,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129834
"Av. Diagonal 208",restaurant,129837,41.405115,2.19113,Barcelona,"Dunkin' Coffee",4b4c5896f964a5203db126e3,0,"Donut Shop",http://tour-pedia.org/api/getPlaceDetails?id=129837,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129837
"Girona, 69",restaurant,129841,41.394747331288,2.1712097371501,Barcelona,"cafe del centre",4b4f872cf964a520160a27e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=129841,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129841
129843,Starbucks,"Ronda de Sant Pere, 17, Barcelona, Spain",restaurant,Barcelona,41.388846,2.171962,http://tour-pedia.org/api/getPlaceDetails?id=129843,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129843
129849,"Milk Bar & Bistro Restaurant","Carrer d'En Gignàs, 21, Barcelona, Spain",restaurant,Barcelona,41.381317,2.180135,http://tour-pedia.org/api/getPlaceDetails?id=129849,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129849
"Via Laietana",restaurant,129856,41.386605163138,2.1751639097037,Barcelona,H3,4b545c6cf964a520a5b827e3,0,"Tapas Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=129856,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129856
129857,"Cockteleria Copa Café","Carrer de la Santa Creu, 5, Barcelona, Spain",restaurant,Barcelona,41.405279,2.156578,http://tour-pedia.org/api/getPlaceDetails?id=129857,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129857
"llull 155",restaurant,129860,41.399396,2.200147,Barcelona,Vanguard,4b5585e8f964a5206ce627e3,0,"Mediterranean Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=129860,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129860
129861,"Bar Tomás","Carrer Major de Sarrià, 49, Barcelona, Spain",restaurant,Barcelona,41.397531,2.123123,http://tour-pedia.org/api/getPlaceDetails?id=129861,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129861
,restaurant,129863,41.390680074692,2.1312135457993,Barcelona,Green's,4b56130df964a5200bff27e3,0,"Burger Joint",http://tour-pedia.org/api/getPlaceDetails?id=129863,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129863
"C/ Riereta 8",restaurant,129868,41.37855312,2.16775464,Barcelona,Guixot,4b581f3ef964a5208a4b28e3,0,"Spanish Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=129868,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129868
"Plaça de la Virreina",restaurant,129875,41.404887,2.157286,Barcelona,"La Cafetera",4b58b2a7f964a5203c6628e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=129875,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129875
"Avinguda de la República Argentina, 63-75",restaurant,129879,41.411254066777,2.1450365062967,Barcelona,"Cafe Bracafe",4b59d0b1f964a520a89928e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=129879,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129879
"Carrer de l'Alba 2",restaurant,129881,41.401905002334,2.1616040806537,Barcelona,"La Fourmi",4b59f55ef964a520c9a328e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=129881,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129881
"Ronda Sant Pau, 4",restaurant,129897,41.37524297,2.16758,Barcelona,"Los Cachitos",4b5b73bbf964a52012ff28e3,0,"Tapas Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=129897,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129897
"Avinguda Diagonal, 85",restaurant,129905,41.407877264423,2.2060558289957,Barcelona,"Icaro Cafe",4b5c718df964a5201d3029e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=129905,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129905
"Via Laietana 23",restaurant,129908,41.383973887394,2.1786480922499,Barcelona,Cappuccino,4b5d542af964a520055a29e3,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=129908,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129908
